depth,min,max,median,mean
182.5,6794,6976,6880,6885
183.0,6813,6995,6898,6903
183.5,6829,7014,6916,6921
184.0,6843,7033,6935,6939
184.5,6859,7054,6955,6957
185.0,6871,7075,6973,6975
185.5,6890,7087,6989,6991
186.0,6906,7101,7006,7008
186.5,6922,7116,7023,7024
187.0,6936,7134,7040,7041
187.5,6949,7155,7056,7057
188.0,6961,7176,7073,7074
188.5,6973,7200,7088,7090
189.0,6985,7225,7103,7107
189.5,6997,7250,7118,7123
190.0,7006,7273,7132,7140
190.5,7020,7285,7146,7154
191.0,7033,7302,7161,7169
191.5,7047,7319,7176,7183
192.0,7058,7335,7188,7198
192.5,7070,7352,7201,7212
193.0,7081,7371,7214,7226
193.5,7090,7389,7229,7241
194.0,7101,7409,7242,7255
194.5,7111,7427,7255,7270
195.0,7120,7447,7269,7284
195.5,7135,7462,7282,7299
196.0,7151,7476,7297,7314
196.5,7164,7493,7313,7328
197.0,7177,7509,7329,7343
197.5,7189,7527,7345,7358
198.0,7200,7544,7360,7372
198.5,7212,7562,7374,7387
199.0,7222,7581,7388,7402
199.5,7233,7598,7403,7417
200.0,7242,7616,7418,7431
200.5,7259,7628,7432,7445
201.0,7274,7643,7445,7460
201.5,7288,7660,7458,7474
202.0,7302,7677,7473,7488
202.5,7315,7691,7488,7503
203.0,7327,7705,7503,7517
203.5,7340,7721,7517,7531
204.0,7352,7737,7531,7545
204.5,7361,7755,7547,7560
205.0,7372,7772,7559,7574
205.5,7386,7785,7577,7588
206.0,7399,7801,7592,7602
206.5,7415,7815,7606,7617
207.0,7428,7829,7620,7631
207.5,7442,7846,7635,7645
208.0,7453,7862,7649,7659
208.5,7464,7879,7665,7673
209.0,7475,7896,7679,7688
209.5,7485,7910,7694,7702
210.0,7493,7931,7709,7716
210.5,7506,7940,7720,7727
211.0,7519,7948,7731,7738
211.5,7533,7958,7742,7749
212.0,7546,7967,7753,7760
212.5,7556,7979,7766,7771
213.0,7568,7991,7776,7782
213.5,7576,8000,7788,7793
214.0,7586,8012,7797,7804
214.5,7593,8025,7808,7815
215.0,7601,8040,7819,7826
215.5,7614,8049,7829,7836
216.0,7621,8058,7839,7845
216.5,7631,8067,7848,7855
217.0,7643,8078,7858,7865
217.5,7654,8088,7867,7874
218.0,7660,8097,7877,7884
218.5,7669,8106,7886,7893
219.0,7677,8116,7895,7903
219.5,7685,8129,7903,7912
220.0,7694,8139,7913,7922
220.5,7706,8146,7924,7931
221.0,7716,8157,7934,7941
221.5,7725,8167,7945,7951
222.0,7734,8175,7956,7960
222.5,7742,8185,7966,7970
223.0,7752,8197,7975,7980
223.5,7762,8206,7985,7990
224.0,7770,8212,7993,7999
224.5,7781,8227,8003,8009
225.0,7790,8238,8011,8019
225.5,7800,8249,8021,8028
226.0,7810,8256,8032,8038
226.5,7819,8265,8040,8047
227.0,7832,8272,8050,8057
227.5,7843,8284,8060,8066
228.0,7854,8293,8069,8076
228.5,7864,8301,8078,8085
229.0,7873,8310,8089,8095
229.5,7880,8322,8098,8104
230.0,7889,8333,8107,8114
230.5,7899,8341,8117,8124
231.0,7910,8349,8128,8134
231.5,7922,8359,8137,8144
232.0,7932,8369,8148,8154
232.5,7943,8378,8158,8164
233.0,7952,8387,8168,8174
233.5,7964,8396,8178,8184
234.0,7973,8405,8189,8194
234.5,7983,8415,8200,8204
235.0,7993,8423,8210,8214
235.5,8006,8430,8218,8223
236.0,8018,8437,8228,8233
236.5,8028,8444,8236,8243
237.0,8038,8452,8245,8252
237.5,8048,8460,8254,8262
238.0,8059,8470,8263,8271
238.5,8066,8479,8274,8281
239.0,8077,8488,8286,8290
239.5,8087,8499,8297,8300
240.0,8095,8509,8308,8310
240.5,8111,8516,8317,8321
241.0,8124,8526,8327,8332
241.5,8136,8535,8338,8343
242.0,8147,8545,8349,8354
242.5,8160,8556,8361,8365
243.0,8172,8567,8370,8376
243.5,8185,8579,8383,8387
244.0,8198,8592,8394,8398
244.5,8210,8603,8408,8410
245.0,8220,8615,8420,8421
245.5,8235,8627,8429,8433
246.0,8249,8636,8439,8446
246.5,8265,8645,8450,8458
247.0,8279,8656,8461,8471
247.5,8294,8669,8473,8484
248.0,8308,8678,8485,8496
248.5,8324,8689,8496,8509
249.0,8337,8706,8508,8521
249.5,8350,8719,8521,8534
250.0,8363,8733,8533,8547
250.5,8379,8742,8544,8559
251.0,8394,8752,8555,8572
251.5,8410,8767,8566,8584
252.0,8426,8779,8578,8597
252.5,8443,8789,8589,8610
253.0,8458,8804,8601,8622
253.5,8472,8817,8612,8635
254.0,8486,8831,8623,8647
254.5,8497,8844,8635,8660
255.0,8510,8857,8647,8673
255.5,8527,8868,8657,8686
256.0,8545,8879,8668,8700
256.5,8563,8890,8680,8714
257.0,8581,8903,8692,8728
257.5,8596,8916,8704,8742
258.0,8611,8931,8716,8756
258.5,8625,8944,8730,8769
259.0,8639,8956,8744,8783
259.5,8654,8969,8757,8797
260.0,8666,8984,8772,8811
260.5,8684,8999,8789,8827
261.0,8701,9012,8807,8844
261.5,8717,9025,8827,8860
262.0,8732,9043,8846,8877
262.5,8744,9059,8865,8893
263.0,8756,9075,8884,8909
263.5,8768,9095,8902,8926
264.0,8780,9116,8920,8942
264.5,8793,9141,8937,8958
265.0,8802,9162,8956,8975
265.5,8822,9176,8973,8992
266.0,8841,9187,8989,9008
266.5,8860,9202,9006,9025
267.0,8876,9216,9023,9042
267.5,8893,9230,9042,9058
268.0,8909,9246,9060,9075
268.5,8925,9265,9079,9091
269.0,8936,9284,9097,9108
269.5,8952,9302,9116,9125
270.0,8963,9323,9134,9141
270.5,8983,9334,9149,9158
271.0,9003,9347,9165,9174
271.5,9024,9359,9184,9191
272.0,9044,9374,9204,9207
272.5,9062,9387,9221,9224
273.0,9077,9401,9239,9240
273.5,9092,9418,9258,9257
274.0,9106,9435,9275,9273
274.5,9119,9453,9293,9290
275.0,9134,9471,9309,9306
275.5,9159,9482,9324,9323
276.0,9183,9493,9341,9340
276.5,9202,9503,9356,9357
277.0,9222,9516,9373,9374
277.5,9244,9530,9389,9391
278.0,9265,9542,9408,9408
278.5,9284,9553,9427,9425
279.0,9302,9569,9443,9442
279.5,9317,9585,9461,9459
280.0,9331,9603,9478,9476
280.5,9358,9612,9495,9494
281.0,9383,9621,9511,9511
281.5,9407,9632,9528,9529
282.0,9430,9642,9545,9547
282.5,9455,9653,9561,9565
283.0,9476,9664,9577,9583
283.5,9492,9678,9596,9600
284.0,9510,9693,9614,9618
284.5,9526,9711,9633,9636
285.0,9541,9738,9649,9654
285.5,9571,9769,9679,9683
286.0,9599,9807,9706,9712
286.5,9624,9846,9734,9741
287.0,9645,9891,9760,9771
287.5,9661,9936,9788,9800
288.0,9680,9985,9815,9829
288.5,9697,10031,9846,9858
289.0,9714,10076,9872,9888
289.5,9728,10121,9902,9917
290.0,9741,10169,9926,9946
290.5,9775,10194,9956,9975
291.0,9808,10214,9988,10004
291.5,9838,10240,10018,10033
292.0,9871,10264,10049,10062
292.5,9895,10294,10081,10091
293.0,9920,10326,10118,10120
293.5,9939,10358,10147,10149
294.0,9962,10393,10179,10178
294.5,9983,10429,10211,10207
295.0,10002,10465,10241,10236
295.5,10041,10483,10266,10266
296.0,10083,10501,10297,10296
296.5,10124,10520,10329,10326
297.0,10167,10541,10362,10356
297.5,10204,10563,10393,10386
298.0,10237,10588,10428,10415
298.5,10267,10614,10463,10445
299.0,10295,10643,10497,10475
299.5,10320,10677,10530,10505
300.0,10346,10713,10559,10535
