depth,mean,accum_time
150,5367,13
150.5,5388,21
151,5408,20
151.5,5428,20
152,5448,20
152.5,5469,21
153,5489,20
153.5,5509,20
154,5529,20
154.5,5550,21
155,5570,20
155.5,5598,28
156,5626,28
156.5,5655,29
157,5683,28
157.5,5711,28
158,5740,29
158.5,5768,28
159,5796,28
159.5,5825,29
160,5853,28
160.5,5879,26
161,5905,26
161.5,5932,27
162,5958,26
162.5,5984,26
163,6010,26
163.5,6037,27
164,6063,26
164.5,6089,26
165,6115,26
165.5,6139,24
166,6164,25
166.5,6188,24
167,6212,24
167.5,6236,24
168,6260,24
168.5,6284,24
169,6308,24
169.5,6333,25
170,6357,24
170.5,6382,25
171,6407,25
171.5,6432,25
172,6457,25
172.5,6482,25
173,6508,26
173.5,6533,25
174,6558,25
174.5,6583,25
175,6608,25
175.5,6627,19
176,6645,18
176.5,6664,19
177,6683,19
177.5,6701,18
178,6720,19
178.5,6738,18
179,6757,19
179.5,6776,19
180,6794,18
180.5,6812,18
181,6830,18
181.5,6848,18
182,6867,19
182.5,6885,18
183,6903,18
183.5,6921,18
184,6939,18
184.5,6957,18
185,6975,18
185.5,6991,16
186,7008,17
186.5,7024,16
187,7041,17
187.5,7057,16
188,7074,17
188.5,7090,16
189,7107,17
189.5,7123,16
190,7140,17
190.5,7154,14
191,7169,15
191.5,7183,14
192,7198,15
192.5,7212,14
193,7226,14
193.5,7241,15
194,7255,14
194.5,7270,15
195,7284,14
195.5,7299,15
196,7314,15
196.5,7328,14
197,7343,15
197.5,7358,15
198,7372,14
198.5,7387,15
199,7402,15
199.5,7417,15
200,7431,14
200.5,7445,14
201,7460,15
201.5,7474,14
202,7488,14
202.5,7503,15
203,7517,14
203.5,7531,14
204,7545,14
204.5,7560,15
205,7574,14
205.5,7588,14
206,7602,14
206.5,7617,15
207,7631,14
207.5,7645,14
208,7659,14
208.5,7673,14
209,7688,15
209.5,7702,14
210,7716,14
210.5,7727,11
211,7738,11
211.5,7749,11
212,7760,11
212.5,7771,11
213,7782,11
213.5,7793,11
214,7804,11
214.5,7815,11
215,7826,11
215.5,7836,10
216,7845,9
216.5,7855,10
217,7865,10
217.5,7874,9
218,7884,10
218.5,7893,9
219,7903,10
219.5,7912,9
220,7922,10
220.5,7931,9
221,7941,10
221.5,7951,10
222,7960,9
222.5,7970,10
223,7980,10
223.5,7990,10
224,7999,9
224.5,8009,10
225,8019,10
225.5,8028,9
226,8038,10
226.5,8047,9
227,8057,10
227.5,8066,9
228,8076,10
228.5,8085,9
229,8095,10
