depth,Agathis,Araucaria,Dacrydium,Podocarpus,OTHER PODOCARPACEAE,ACANTHACEAE,Albizzia,APOCYNACEAE,Apodytes clussifiolia,ARALIACEAE,Ascarina,ASTERACEAE,Avicennia marina,BRASSICACEAE  Type,Brugeria sim.,CASUARINACEAE,Celtis,CHENOPODIACEAE,Codia,CUNONIACEAE/ELAEOCARPACEAE,Dodonea Type,EPACRIDACEAE,ESCALLIONACEAE,EUPHORBIACEAE Undiff,Exocaria comp.,Ficus,FLACOURTICEAE,Garcinia,GOODENIACEAE,Hibbertia Type,Ilex,Kermadecia/Stenocarpus,LEGUMINOSAE,LILIACEAE Type,Longetia buxoides Type,Lumnitzera,Lythrum,Macaranga,Mallotus,Melaleuca,OTHER MYRTACEAE,Melastoma,MELIACEAE,MENISPERMACEAE  Type,MYRSINACEAE,Nothofagus,Parsonsia,PASSIFLORACEAE Type,Phyllanthus Type,PIPERACEAE Type,PROTEACEAE,Psychotira,Quintinia,RHIZOPHORACEAE,RUBIACEAE ?,RUTACEAE ?,SAPINDACEAE,SAPINDACEAE Sync. Type,SAPOTACEAE,SIMAROUBACEAE,Sloanea,SONNERATICEAE,STERCULICEAE,Symplocos,Tapeinosperma Type,Terminalia,Trema ?,VITACEAE,Wickstromea Type,CYPERACEAE,Palmae,Freycinetia,Pandanus krauelianis Type,Other PANDANACEAE,POACEAE,Typha,Lycopodium,Monolete psilate,POLYPODIACEAE,Type A,Other,Pteridium esculentum,Cyathaceae,Trilete Psilate,NC-SS-32 Type,Type A,Type B,Other,Type 2,Type 5,Type 7,Type 8,Type 15,Type 16,Type 17,Type 18,Type 19,Type 23,Type 24,Type 25,Type 27,Type 30,Type 31,Type 32,Type 33,Type 34,Type 35,Type 36,Type 39,Type 41,Typef 42,Type 43,Type 45,Type 48,Type 49,Type 50,Type 51,Type 52,Type 53,Type 54,Type 55,Type 56,Type 57,Type 61,Type 65,Type 66,Type 68,Type 71,Type 72,Type 73,Type 74,Type 75,Type 76,Type 77,Type 78,Type 80,Type 83,Type 84,Type 85,Type 86,Type 87,Type 90,Type 91,Type 96,Type 97,Type 98,Type 99,Type 100,Type 101,Type 102,Type 166,Type 168,Dam/deg,Indet
111,2,4,0,0,0,0,0,0,1,0,4,2,1,0,0,0,0,0,1,5,0,3,0,0,3,0,0,0,0,0,0,0,0,2,16,0,0,7,5,4,24,0,0,1,0,7,0,0,0,0,0,0,0,67,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,110,1,0,0,0,10,1,0,84,3,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,38
114,0,10,0,0,0,0,0,0,0,2,0,1,3,1,0,27,0,0,0,5,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,12,12,0,1,0,0,3,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,7,0,0,0,8,1,0,189,11,1,11,0,3,13,0,2,2,5,0,0,10,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,3,0,0,0,0,0,2,0,0,0,0,3,5,2,0,0,0,0,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,1,0,1,0,0,21,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20
126,1,0,0,0,0,0,0,1,0,1,1,0,0,3,0,4,0,0,5,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,15,0,0,0,0,3,0,0,0,0,0,0,0,20,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,1,0,0,22,9,3,2,2,8,3,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4
132,0,6,0,0,0,0,0,0,0,3,1,0,0,2,3,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,6,9,0,0,0,0,0,0,0,0,0,2,1,0,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,10,2,4,8,0,3,6,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
138,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,7,0,0,3,22,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,2,14,0,0,0,0,5,0,0,0,2,0,0,0,25,0,0,0,4,1,0,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,12,3,0,3,1,11,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14
144,0,5,1,0,0,0,0,0,1,1,1,0,0,0,0,23,1,0,1,32,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,14,1,3,46,0,1,0,0,13,0,0,0,1,1,0,0,40,1,1,0,6,3,0,0,0,0,0,2,0,1,0,0,12,12,0,2,0,3,0,0,34,27,1,1,0,26,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44
150,0,12,0,0,0,0,0,1,0,4,0,0,0,1,1,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,8,0,1,0,0,5,0,0,0,0,3,0,82,43,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,20,6,0,6,1,0,11,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20
159,2,14,0,0,0,0,0,0,0,4,5,0,0,0,5,9,0,0,0,28,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,19,0,5,7,0,0,0,0,15,0,0,0,0,0,0,0,30,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,3,13,0,1,0,0,0,0,15,9,1,8,0,30,9,0,1,0,3,0,0,7,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14
189,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,6,0,0,0,18,0,0,1,0,0,1,1,1,0,0,0,0,1,0,2,0,1,15,0,12,9,0,0,0,1,4,1,0,0,0,3,0,1,57,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,12,0,4,0,0,1,0,15,6,0,5,0,14,16,0,9,0,3,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,30
198,0,0,0,2,0,0,0,0,0,2,5,0,0,0,0,8,0,0,0,22,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,23,0,14,9,2,0,0,0,1,0,0,0,0,4,0,0,66,3,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,46,20,14,12,1,16,53,0,2,0,15,0,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,49
210,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,10,0,4,1,0,1,0,0,3,1,0,0,0,0,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,29,22,3,6,1,21,48,0,0,0,7,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,11
219,0,0,0,0,0,1,0,0,0,3,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,0,5,0,29,44,0,0,0,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
