"","times","sims","name","rank"
"lou aro.3",1650,0.0444291601472547,"lou aro","family"
"lou aro.4",2650,0.151983407029136,"lou aro","family"
"lou aro.5",3150,0.131786204669363,"lou aro","family"
"lou aro.6",4650,0.0699757475504214,"lou aro","family"
"ano aro.1",1650,0.371498941072815,"ano aro","family"
"ano aro.2",2650,0.307642479715752,"ano aro","family"
"ano aro.3",3150,0.563130702224517,"ano aro","family"
"ano aro.4",4650,0.130424853393363,"ano aro","family"
"lan lot.1",650,0.0456451698361393,"lan lot","family"
"lan lot.2",1150,0.0630533927188039,"lan lot","family"
"lan lot.3",1650,0.0928160955780039,"lan lot","family"
"lan lot.4",3150,0,"lan lot","family"
"lan lot.5",3650,0,"lan lot","family"
"lou lot.1",650,0.295302961008258,"lou lot","family"
"lou lot.2",1150,0.432005916287842,"lou lot","family"
"lou lot.3",1650,0.0552347222328067,"lou lot","family"
"lou lot.4",2150,0.145242716791434,"lou lot","family"
"lou lot.5",3150,0,"lou lot","family"
"lou lot.6",3650,0,"lou lot","family"
"ano lot.1",1650,0.0756413662910996,"ano lot","family"
"ano lot.2",2150,0.307011617800382,"ano lot","family"
"ano lot.3",3150,0,"ano lot","family"
"ano lot.4",3650,0,"ano lot","family"
"lou lan.1",650,0.0842613192828705,"lou lan","family"
"lou lan.2",1150,0.0484452355328187,"lou lan","family"
"lou lan.3",1650,0.0340663793124494,"lou lan","family"
"lou lan.4",2650,0.255087021928201,"lou lan","family"
"lou lan.5",3150,0.170961280676822,"lou lan","family"
"lou lan.6",3650,0.179624515930847,"lou lan","family"
"lou lan.7",4150,0.108039647573218,"lou lan","family"
"lou lan.8",4650,0.112396041198707,"lou lan","family"
"ano lan.1",1650,0.0404085055784069,"ano lan","family"
"ano lan.2",2650,0.0221206854498716,"ano lan","family"
"ano lan.3",3150,0.0394772627485787,"ano lan","family"
"ano lan.4",3650,0.0104702164788003,"ano lan","family"
"ano lan.5",4150,0.00831743392854234,"ano lan","family"
"ano lan.6",4650,0.00250863109945765,"ano lan","family"
"ano lou.1",1650,0.0569252295838376,"ano lou","family"
"ano lou.2",2150,0.208879111623532,"ano lou","family"
"ano lou.3",2650,0.218779310609752,"ano lou","family"
"ano lou.4",3150,0.134903935437882,"ano lou","family"
"ano lou.5",3650,0.135864443481537,"ano lou","family"
"ano lou.6",4150,0.0984522263942134,"ano lou","family"
"ano lou.7",4650,0.0770615836297356,"ano lou","family"
"plu tag.11",150,0.0672742387109537,"plu tag","genus"
"plu tag.21",650,0.036638281620067,"plu tag","genus"
"plu tag.31",1150,0.0951076167281047,"plu tag","genus"
"plu tag.41",1650,0.0701914273866752,"plu tag","genus"
"plu tag.51",2150,0.145257104493924,"plu tag","genus"
"plu tag.61",2650,0.633384120641512,"plu tag","genus"
"plu tag.71",3150,0.499493047150564,"plu tag","genus"
"plu tag.81",3650,0.552755160978414,"plu tag","genus"
"plu tag.91",4150,0.387814288968808,"plu tag","genus"
"plu tag.101",4650,0.365074390993389,"plu tag","genus"
"bon tag.11",150,0.235195820890698,"bon tag","genus"
"bon tag.21",650,0.0948190990447905,"bon tag","genus"
"bon tag.31",1150,0.154247548407615,"bon tag","genus"
"bon tag.41",1650,0.087637871236104,"bon tag","genus"
"bon tag.51",2150,0.155452440939039,"bon tag","genus"
"bon tag.61",2650,0.0823635862917645,"bon tag","genus"
"bon tag.71",3150,0.159297044343229,"bon tag","genus"
"bon tag.81",3650,0.190844422057313,"bon tag","genus"
"bon tag.91",4150,0.282675813902052,"bon tag","genus"
"ngo tag.11",150,0.0887581331824903,"ngo tag","genus"
"ngo tag.21",650,0.123692734488458,"ngo tag","genus"
"ngo tag.31",1150,0.103842747799599,"ngo tag","genus"
"ngo tag.41",1650,0.0810996427366082,"ngo tag","genus"
"ngo tag.51",2150,0.116709364616446,"ngo tag","genus"
"ngo tag.61",2650,0.087925802023931,"ngo tag","genus"
"ngo tag.71",3150,0.029364913012954,"ngo tag","genus"
"ngo tag.81",3650,0.0298147290223958,"ngo tag","genus"
"ngo tag.91",4150,0.0634561467983189,"ngo tag","genus"
"ngo tag.101",4650,0.0981778619438709,"ngo tag","genus"
"ava tag.11",150,0.19198658807393,"ava tag","genus"
"ava tag.21",650,0.0888163789960265,"ava tag","genus"
"ava tag.31",1150,0.0640833916148329,"ava tag","genus"
"ava tag.41",1650,0.227924181836563,"ava tag","genus"
"ava tag.51",2150,0.277347221877666,"ava tag","genus"
"ava tag.61",2650,0.214675970130993,"ava tag","genus"
"ava tag.71",3150,0.131482080776412,"ava tag","genus"
"ava tag.81",4150,0.161904123684491,"ava tag","genus"
"ava tag.91",4650,0.177998191196493,"ava tag","genus"
"wai tag.11",150,0.0169647384944767,"wai tag","genus"
"wai tag.21",650,0.0030297869082736,"wai tag","genus"
"wai tag.31",1150,0.0108528287714873,"wai tag","genus"
"wai tag.41",1650,0.0182556501943082,"wai tag","genus"
"wai tag.51",2150,0.0199082477026197,"wai tag","genus"
"wai tag.61",3150,0.0112486007298142,"wai tag","genus"
"wai tag.71",4150,0.0178033533884085,"wai tag","genus"
"wai tag.81",4650,0.00240891004135146,"wai tag","genus"
"fin tag.11",150,0.100278808237736,"fin tag","genus"
"fin tag.21",650,0.0510911035215434,"fin tag","genus"
"fin tag.31",1150,0.0327547701673624,"fin tag","genus"
"fin tag.41",1650,0.0549743043703175,"fin tag","genus"
"fin tag.51",2150,0.0573885065673252,"fin tag","genus"
"fin tag.61",2650,0.031442709570443,"fin tag","genus"
"fin tag.71",3150,0.00505054333075627,"fin tag","genus"
"fin tag.81",3650,0.0461348386615423,"fin tag","genus"
"fin tag.91",4150,0,"fin tag","genus"
"fin tag.101",4650,0.0480660338903824,"fin tag","genus"
"yac tag.11",150,0.00413450180400909,"yac tag","genus"
"yac tag.21",650,0.00936213113083528,"yac tag","genus"
"yac tag.31",1150,0.00572261300018861,"yac tag","genus"
"yac tag.41",1650,0.0139341793196349,"yac tag","genus"
"yac tag.51",2150,0.0016769562149006,"yac tag","genus"
"yac tag.61",2650,0.00512155636619016,"yac tag","genus"
"yac tag.71",3150,0,"yac tag","genus"
"yac tag.81",3650,0,"yac tag","genus"
"yac tag.91",4150,0,"yac tag","genus"
"yac tag.101",4650,0,"yac tag","genus"
"vol tag.11",150,0.0903086758616624,"vol tag","genus"
"vol tag.21",650,0.0300731736788264,"vol tag","genus"
"vol tag.31",1150,0.0131309811579952,"vol tag","genus"
"vol tag.41",2650,0.693287776231817,"vol tag","genus"
"vol tag.51",3650,0.593371554212926,"vol tag","genus"
"vol tag.61",4150,0.388369952391014,"vol tag","genus"
"vol tag.71",4650,0.0770537565544982,"vol tag","genus"
"tuk tag.11",150,0.00292100093325054,"tuk tag","genus"
"tuk tag.21",650,0.0104501829393693,"tuk tag","genus"
"tuk tag.31",1150,0.0465217145205788,"tuk tag","genus"
"tuk tag.41",2150,0.0228098357637835,"tuk tag","genus"
"tuk tag.51",3150,0.0181270073423864,"tuk tag","genus"
"tuk tag.61",3650,0.00219060762095635,"tuk tag","genus"
"tuk tag.71",4150,0.0342836636108059,"tuk tag","genus"
"aro tag.11",150,0.0332191093356119,"aro tag","genus"
"aro tag.21",650,0,"aro tag","genus"
"aro tag.31",1150,0.016793096312584,"aro tag","genus"
"aro tag.41",1650,0,"aro tag","genus"
"aro tag.51",2650,0,"aro tag","genus"
"aro tag.61",3150,0,"aro tag","genus"
"aro tag.71",4650,0,"aro tag","genus"
"lot tag.11",150,0,"lot tag","genus"
"lot tag.21",650,0.0247713163507143,"lot tag","genus"
"lot tag.31",1150,0,"lot tag","genus"
"lot tag.41",1650,0.011520541745656,"lot tag","genus"
"lot tag.51",2150,0.013790104566603,"lot tag","genus"
"lot tag.61",2650,0,"lot tag","genus"
"lot tag.71",3150,0.0101095528525935,"lot tag","genus"
"lot tag.8",3650,0.0584220567010281,"lot tag","genus"
"lot tag.9",4150,0.132146588020107,"lot tag","genus"
"lot tag.10",4650,0.0434598367471424,"lot tag","genus"
"lan tag.11",650,0.0344108136248572,"lan tag","genus"
"lan tag.21",1150,0.006243914452849,"lan tag","genus"
"lan tag.31",1650,0.287662341045572,"lan tag","genus"
"lan tag.41",2650,0.383500660803496,"lan tag","genus"
"lan tag.51",3150,0.171241552645601,"lan tag","genus"
"lan tag.61",3650,0.213962423167191,"lan tag","genus"
"lan tag.71",4150,0.280136259387936,"lan tag","genus"
"lan tag.81",4650,0.235254235897323,"lan tag","genus"
"lou tag.11",650,0.0104266026378974,"lou tag","genus"
"lou tag.21",1150,0.0014734401175801,"lou tag","genus"
"lou tag.31",1650,0.00152598080603705,"lou tag","genus"
"lou tag.41",2150,0.0140049338345695,"lou tag","genus"
"lou tag.51",2650,0.0267467800632523,"lou tag","genus"
"lou tag.61",3150,0.0407530435591756,"lou tag","genus"
"lou tag.71",3650,0.0386504746817318,"lou tag","genus"
"lou tag.81",4150,0.0955472245823205,"lou tag","genus"
"lou tag.91",4650,0.0643628960032187,"lou tag","genus"
"ano tag.11",1650,0.0995352056192764,"ano tag","genus"
"ano tag.21",2150,0.0994740783428573,"ano tag","genus"
"ano tag.31",2650,0.0859661899514571,"ano tag","genus"
"ano tag.41",3150,0.0768245880272105,"ano tag","genus"
"ano tag.51",3650,0.0853515714180174,"ano tag","genus"
"ano tag.61",4150,0.037120087409913,"ano tag","genus"
"ano tag.71",4650,0.0752841684095663,"ano tag","genus"
"bon plu.11",150,0.00998153348730124,"bon plu","genus"
"bon plu.21",650,0.0054227905695643,"bon plu","genus"
"bon plu.31",1150,0.0299983830754504,"bon plu","genus"
"bon plu.41",1650,0.0732697190168271,"bon plu","genus"
"bon plu.51",2150,0.240518137021739,"bon plu","genus"
"bon plu.61",2650,0.0365903867851128,"bon plu","genus"
"bon plu.71",3150,0.119890896907351,"bon plu","genus"
"bon plu.81",3650,0.0776747294472565,"bon plu","genus"
