"","Cal_yrs_BP","min","max","Acrostichum","Alphitonia","Amaranthaceae","Anacardiaceae","Apiaceae","Araceae","Arecaceae","Asteraceae","Bischofia","Burseraceae","Calophyllum","Casuarina","cf. Ailanthus","cf. Araliaceae","cf. Calamus","cf. Celtis","cf. Clerodendrum","cf. Clethra","cf. Cycas","cf. Desmodium","cf. Diospyros","cf. Entada","cf. Geraniaceae","cf. Maesa","cf. Maniltoa","cf. Maytenus","cf. Neonauclea","cf. Onagraceae","cf. Rosaceae","cf. Senna","cf. Sterculia","Cocos","Combretaceae/Melastromataceae","Cyperaceae","Dracaena","Dysoxylum","Elaeocarpus","Elattostachys","Euphorbiaceae","Excoecaria","Fabaceae","Ficus","Freycinetia","Glochidion","Grewia","Hedycarya","Homalanthus","Homalium","Ixora","Loranthaceae","Macaranga","Malpighiaceae","Malvaceae","Melastromataceae/Sapotaceae","Microsorum","Monolete echinate","Monolete spores","Moraceae/Urticaceae","Oleaceae","Pandanus","Phyllanthaceae","Poaceae","Polygonaceae","Polypodium","Rhamnaceae","Rhizophoraceae","Rhus","Rubiaceae","Sapotaceae","Stenochlaena","Syzygium","Trema","Trilete spores","Vitaceae"
"34",4473,4258,4704,0,0,0,0,0,0,5,0,0,1,2,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,30,0,2,34,0,0,0,3,0,0,4,0,0,5,0,1,0,37,0,0,2,20,0,100,6,0,1,0,11,0,0,0,1,10,0,4,21,6,25,1,0
"35",4607,4364,4875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,23,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,2,3,0,12,0,0,0,0,0,0,0,0,11,8,0,5,2,3,5,0,0
"36",4655,4407,4918,0,1,0,0,0,1,14,0,0,0,1,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,3,0,1,9,0,1,33,0,1,0,10,0,0,0,0,0,4,0,4,0,3,0,0,1,22,0,17,0,1,2,1,3,3,0,1,99,9,0,5,2,20,36,1,0
"37",4851,4567,5127,0,0,1,0,0,0,2,0,0,1,6,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,0,0,0,0,1,18,0,1,86,1,0,0,17,0,0,1,0,1,5,0,15,1,49,0,0,0,27,0,54,20,0,5,2,4,0,0,0,37,45,0,10,0,9,82,1,0
"38",4999,4703,5247,0,0,0,0,0,0,7,0,8,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,15,0,3,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,1,0,0,1,0,1,0,0,0,20,5,0,2,0,17,0,1,0
"39",5132,4835,5371,0,0,0,0,0,0,2,0,0,0,5,2,0,0,0,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,0,0,4,3,0,2,120,0,0,0,13,0,0,1,0,0,4,0,2,0,27,0,0,1,11,0,19,17,0,0,0,3,2,0,0,84,40,0,9,1,52,60,1,0
"40",5265,4962,5476,0,0,0,0,0,0,2,0,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,22,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,4,0,0,0,0,0,0,0,0,35,2,0,2,0,24,12,0,0
"41",5425,5118,5626,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,11,10,1,0,0,0,0,0,8,2,0,0,100,0,0,0,40,19,0,0,0,0,0,2,2,0,9,0,1,0,9,0,25,24,0,2,0,5,0,0,0,258,29,0,10,2,120,45,0,0
"42",5518,5204,5744,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,45,8,0,1,0,32,4,0,0
"43",5611,5292,5862,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,2,18,0,0,0,11,3,0,0,0,0,1,0,0,0,6,0,0,7,12,0,28,0,0,1,0,11,0,0,0,108,25,0,10,0,42,34,0,0
