"","times","sims","name"
"yac ngo.2",650,0.0622196400953056,"yac ngo"
"yac ngo.3",1150,0.122980510399483,"yac ngo"
"yac ngo.4",1650,0.0108477005059108,"yac ngo"
"yac ngo.5",2150,0.00120074287412786,"yac ngo"
"yac ngo.6",2650,0.00478093063894081,"yac ngo"
"yac ngo.7",3150,0.0030475353562518,"yac ngo"
"yac ngo.8",3650,0.00157477523662519,"yac ngo"
"yac ngo.9",4150,0.00433365101363303,"yac ngo"
"ava ngo.1",150,0.478935123361168,"ava ngo"
"ava ngo.2",650,0.534812487654148,"ava ngo"
"ava ngo.3",1150,0.301702611763704,"ava ngo"
"ava ngo.4",1650,0.292467107158038,"ava ngo"
"ava ngo.5",2150,0.304029037280484,"ava ngo"
"ava ngo.6",2650,0.383472206650059,"ava ngo"
"ava ngo.7",3150,0.124792275227274,"ava ngo"
"ava ngo.8",4150,0.169775921418714,"ava ngo"
"ava ngo.9",4650,0.159283957640615,"ava ngo"
"plu ngo.1",150,0.300631806625432,"plu ngo"
"plu ngo.2",650,0.476080646385408,"plu ngo"
"plu ngo.3",1150,0.515759288058703,"plu ngo"
"plu ngo.4",1650,0.312394871046779,"plu ngo"
"plu ngo.5",2150,0.234438866334034,"plu ngo"
"plu ngo.6",2650,0.179390437861045,"plu ngo"
"plu ngo.7",3150,0.208589786044464,"plu ngo"
"plu ngo.8",3650,0.180079887346596,"plu ngo"
"plu ngo.9",4150,0.0635462896499052,"plu ngo"
"plu ngo.10",4650,0.14694108996096,"plu ngo"
"lot ngo.1",150,0.109410332231692,"lot ngo"
"lot ngo.2",650,0.223046804774165,"lot ngo"
"lot ngo.3",1150,0.153081563783408,"lot ngo"
"lot ngo.4",1650,0,"lot ngo"
"lot ngo.5",2150,0.0239041115699974,"lot ngo"
"lot ngo.6",2650,0.00388661482574715,"lot ngo"
"lot ngo.7",3150,0.178013921208407,"lot ngo"
"lot ngo.8",3650,0.00689734889353677,"lot ngo"
"lot ngo.9",4150,0,"lot ngo"
"lot ngo.10",4650,0.0132971253655285,"lot ngo"
"fin ngo.1",150,0.190822886373423,"fin ngo"
"fin ngo.2",650,0.360310847696106,"fin ngo"
"fin ngo.3",1150,0.0957750482598665,"fin ngo"
"fin ngo.4",1650,0.0307800240064136,"fin ngo"
"fin ngo.5",2150,0.0360204722991161,"fin ngo"
"fin ngo.6",2650,0.000703220192207255,"fin ngo"
"fin ngo.7",3150,0,"fin ngo"
"fin ngo.8",3650,0.076894003265199,"fin ngo"
"fin ngo.9",4150,0.0295917872049806,"fin ngo"
"fin ngo.10",4650,0.0707011459355417,"fin ngo"
"vol ngo.1",150,0.16282118194072,"vol ngo"
"vol ngo.2",650,0.196913175360597,"vol ngo"
"vol ngo.3",1150,0.0900448462619994,"vol ngo"
"vol ngo.4",2150,0.126501884191902,"vol ngo"
"vol ngo.5",2650,0.141675232871521,"vol ngo"
"vol ngo.6",3150,0.0768784657879139,"vol ngo"
"vol ngo.7",3650,0.0398690594000655,"vol ngo"
"vol ngo.8",4150,0.018334205233995,"vol ngo"
"vol ngo.9",4650,0.0722712638747237,"vol ngo"
"bon ngo.1",150,0.0557776208401748,"bon ngo"
"bon ngo.2",650,0.19272433040211,"bon ngo"
"bon ngo.3",1150,0.0419731519900014,"bon ngo"
"bon ngo.4",1650,0.0325973061348236,"bon ngo"
"bon ngo.5",2150,0.193120350045027,"bon ngo"
"bon ngo.6",2650,0.152641461032603,"bon ngo"
"bon ngo.7",3150,0.0656299276617307,"bon ngo"
"bon ngo.8",3650,0.079343101062024,"bon ngo"
"bon ngo.9",4150,0.0531266330591619,"bon ngo"
"tag ngo.1",150,0.0409692797613801,"tag ngo"
"tag ngo.2",650,0.134351112416755,"tag ngo"
"tag ngo.3",1150,0.492013447254771,"tag ngo"
"tag ngo.4",1650,0.1647030290157,"tag ngo"
"tag ngo.5",2150,0.0824454711545468,"tag ngo"
"tag ngo.6",2650,0.0790514155453667,"tag ngo"
"tag ngo.7",3150,0.0321411982121835,"tag ngo"
"tag ngo.8",3650,0.0384549923805904,"tag ngo"
"tag ngo.9",4150,0.0814022515627403,"tag ngo"
"tag ngo.10",4650,0.116255266834449,"tag ngo"
"lou ngo.1",650,0.584323209221733,"lou ngo"
"lou ngo.2",1150,0.819553694025264,"lou ngo"
"lou ngo.3",1650,0.813546922607311,"lou ngo"
"lou ngo.4",2150,0.458892606696949,"lou ngo"
"lou ngo.5",2650,0.249219999012172,"lou ngo"
"lou ngo.6",3150,0.14365216270576,"lou ngo"
"lou ngo.7",3650,0.211141555870891,"lou ngo"
"lou ngo.8",4150,0.208758905156164,"lou ngo"
"lou ngo.9",4650,0.284018802735118,"lou ngo"
"lan ngo.1",650,0.222719554074981,"lan ngo"
"lan ngo.2",1150,0.0913596251980157,"lan ngo"
"lan ngo.3",1650,0.0625449218189638,"lan ngo"
"lan ngo.4",2650,0.155643982811465,"lan ngo"
"lan ngo.5",3150,0.114263744764189,"lan ngo"
"lan ngo.6",3650,0.113796748333373,"lan ngo"
"lan ngo.7",4150,0.117530307834797,"lan ngo"
"lan ngo.8",4650,0.103619987304871,"lan ngo"
"ano ngo.1",1650,0.0379977491574105,"ano ngo"
"ano ngo.2",2150,0.118379374215055,"ano ngo"
"ano ngo.3",2650,0.0959297572722737,"ano ngo"
"ano ngo.4",3150,0.029403846338932,"ano ngo"
