"","times","sims","name"
"lan aro.1",650,0.00881666554827365,"lan aro"
"lan aro.2",1150,0,"lan aro"
"lan aro.3",1650,0,"lan aro"
"lan aro.4",2650,0,"lan aro"
"lan aro.5",3150,0,"lan aro"
"lan aro.6",4650,0,"lan aro"
"ano aro.1",1650,0,"ano aro"
"ano aro.2",2650,0,"ano aro"
"ano aro.3",3150,0,"ano aro"
"ano aro.4",4650,0,"ano aro"
"wai ngo.1",150,0,"wai ngo"
"wai ngo.2",650,0.00333333333333319,"wai ngo"
"wai ngo.3",1150,0.00300000000000011,"wai ngo"
"wai ngo.4",1650,0.00248847000084629,"wai ngo"
"wai ngo.5",2150,0.00386100386100396,"wai ngo"
"wai ngo.6",3150,0.00842696629213524,"wai ngo"
"wai ngo.7",4150,0.00936768149882894,"wai ngo"
"wai ngo.8",4650,0.00851063829787246,"wai ngo"
"tuk ngo.1",150,0.357081649692695,"tuk ngo"
"tuk ngo.2",650,0.0367779663405047,"tuk ngo"
"tuk ngo.3",1150,0.0432900432900434,"tuk ngo"
"tuk ngo.4",2150,0.053329820496958,"tuk ngo"
"tuk ngo.5",3150,0.0509951224270805,"tuk ngo"
"tuk ngo.6",3650,0.0255102040816326,"tuk ngo"
"tuk ngo.7",4150,0.0514514335748626,"tuk ngo"
"yac ngo.1",150,0.146817480109251,"yac ngo"
"yac ngo.2",650,0.269648979125129,"yac ngo"
"yac ngo.3",1150,0.168873061768846,"yac ngo"
"yac ngo.4",1650,0.0239963810642889,"yac ngo"
"yac ngo.5",2150,0.0572914221502656,"yac ngo"
"yac ngo.6",2650,0.00389045131913757,"yac ngo"
"yac ngo.7",3150,0.00743869008371778,"yac ngo"
"yac ngo.8",3650,0.00362539383157934,"yac ngo"
"yac ngo.9",4150,0.00613584329859462,"yac ngo"
"ava ngo.1",150,0.500967729859239,"ava ngo"
"ava ngo.2",650,0.556150515287326,"ava ngo"
"ava ngo.3",1150,0.370533352312329,"ava ngo"
"ava ngo.4",1650,0.292829492086724,"ava ngo"
"ava ngo.5",2150,0.365786884078822,"ava ngo"
"ava ngo.6",2650,0.4179567064709,"ava ngo"
"ava ngo.7",3150,0.165394245903645,"ava ngo"
"ava ngo.8",4150,0.190349925186561,"ava ngo"
"ava ngo.9",4650,0.141906904428553,"ava ngo"
"plu ngo.1",150,0.289599726308587,"plu ngo"
"plu ngo.2",650,0.503166282354313,"plu ngo"
"plu ngo.3",1150,0.545209800362114,"plu ngo"
"plu ngo.4",1650,0.316649350569182,"plu ngo"
"plu ngo.5",2150,0.190503349480953,"plu ngo"
"plu ngo.6",2650,0.121457489878542,"plu ngo"
"plu ngo.7",3150,0.189803892944828,"plu ngo"
"plu ngo.8",3650,0.16895759576172,"plu ngo"
"plu ngo.9",4150,0.0487804878048779,"plu ngo"
"plu ngo.10",4650,0.147186753225371,"plu ngo"
"lot ngo.1",150,0.0595136720597975,"lot ngo"
"lot ngo.2",650,0.14978101404345,"lot ngo"
"lot ngo.3",1150,0.140082509817283,"lot ngo"
