"","times","sims","name"
"ava ngo.6",2650,0.420080302681414,"ava ngo"
"ava ngo.7",3150,0.169234897814837,"ava ngo"
"ava ngo.8",4150,0.210156638516664,"ava ngo"
"ava ngo.9",4650,0.165436337179073,"ava ngo"
"plu ngo.1",150,0.306302789909347,"plu ngo"
"plu ngo.2",650,0.513064725660494,"plu ngo"
"plu ngo.3",1150,0.549993284205566,"plu ngo"
"plu ngo.4",1650,0.320055936441576,"plu ngo"
"plu ngo.5",2150,0.196041289042784,"plu ngo"
"plu ngo.6",2650,0.132743362831859,"plu ngo"
"plu ngo.7",3150,0.195988991278428,"plu ngo"
"plu ngo.8",3650,0.175226371627239,"plu ngo"
"plu ngo.9",4150,0.063071817899404,"plu ngo"
"plu ngo.10",4650,0.152954307916211,"plu ngo"
"lot ngo.1",150,0.107132719678845,"lot ngo"
"lot ngo.2",650,0.391450647628971,"lot ngo"
"lot ngo.3",1150,0.228544250208202,"lot ngo"
"lot ngo.4",1650,0,"lot ngo"
"lot ngo.5",2150,0.0826639637037595,"lot ngo"
"lot ngo.6",2650,0.00358422939068093,"lot ngo"
"lot ngo.7",3150,0.173274575632174,"lot ngo"
"lot ngo.8",3650,0.00687221890150758,"lot ngo"
"lot ngo.9",4150,0.00333333333333341,"lot ngo"
"lot ngo.10",4650,0.0997274876681424,"lot ngo"
"fin ngo.1",150,0.209434390090679,"fin ngo"
"fin ngo.2",650,0.449381124296711,"fin ngo"
"fin ngo.3",1150,0.197912685468935,"fin ngo"
"fin ngo.4",1650,0.0487644618118465,"fin ngo"
"fin ngo.5",2150,0.0620738516683086,"fin ngo"
"fin ngo.6",2650,0.0642245597730041,"fin ngo"
"fin ngo.7",3150,0.0201126536185708,"fin ngo"
"fin ngo.8",3650,0.0760969977765414,"fin ngo"
"fin ngo.9",4150,0.0289919998807255,"fin ngo"
"fin ngo.10",4650,0.158014490545564,"fin ngo"
"vol ngo.1",150,0.161429425502133,"vol ngo"
"vol ngo.2",650,0.249821431667273,"vol ngo"
"vol ngo.3",1150,0.174952683301746,"vol ngo"
"vol ngo.4",2150,0.168309668619692,"vol ngo"
"vol ngo.5",2650,0.161532110701044,"vol ngo"
"vol ngo.6",3150,0.108193065959135,"vol ngo"
"vol ngo.7",3650,0.0469895933224644,"vol ngo"
"vol ngo.8",4150,0.0353028676160964,"vol ngo"
"vol ngo.9",4650,0.0904460416203403,"vol ngo"
"bon ngo.1",150,0.0628209124921172,"bon ngo"
