"","times","sims","name","rank"
"plu yac.81",3650,0,"plu yac","genus"
"plu yac.91",4150,0,"plu yac","genus"
"lot yac.11",150,0,"lot yac","genus"
"lot yac.21",650,0.0121753681324264,"lot yac","genus"
"lot yac.31",1150,0,"lot yac","genus"
"lot yac.41",1650,0,"lot yac","genus"
"lot yac.51",2150,0,"lot yac","genus"
"lot yac.61",2650,0.183540425711748,"lot yac","genus"
"lot yac.71",3150,0,"lot yac","genus"
"lot yac.81",3650,0,"lot yac","genus"
"lot yac.91",4150,0,"lot yac","genus"
"fin yac.11",150,0.0144008117091887,"fin yac","genus"
"fin yac.21",650,0.0310834650092878,"fin yac","genus"
"fin yac.31",1150,0.0270474647364317,"fin yac","genus"
"fin yac.41",1650,0.0230587510515946,"fin yac","genus"
"fin yac.51",2150,0.0163506279069585,"fin yac","genus"
"fin yac.61",2650,0,"fin yac","genus"
"fin yac.71",3150,0,"fin yac","genus"
"fin yac.81",3650,0,"fin yac","genus"
"fin yac.91",4150,0.0182770844944012,"fin yac","genus"
"vol yac.11",150,0.0160166750406875,"vol yac","genus"
"vol yac.21",650,0.0467270292695824,"vol yac","genus"
"vol yac.31",1150,0.0393560516073829,"vol yac","genus"
"vol yac.41",2150,0.0261494758937019,"vol yac","genus"
"vol yac.51",2650,0.0824667096377801,"vol yac","genus"
"vol yac.61",3150,0.0960331927960674,"vol yac","genus"
"vol yac.71",3650,0.158007426021537,"vol yac","genus"
"vol yac.81",4150,0.112612567169236,"vol yac","genus"
"bon yac.11",150,0.00388074178624864,"bon yac","genus"
"bon yac.21",650,0.00597187217581097,"bon yac","genus"
"bon yac.31",1150,0,"bon yac","genus"
"bon yac.41",1650,0,"bon yac","genus"
"bon yac.51",2150,0.0202402533877043,"bon yac","genus"
"bon yac.61",2650,0.00455846675277016,"bon yac","genus"
"bon yac.71",3150,0,"bon yac","genus"
"bon yac.81",3650,0,"bon yac","genus"
"bon yac.91",4150,0.00624006396068633,"bon yac","genus"
"tag yac.11",150,0.00453127428685673,"tag yac","genus"
"tag yac.21",650,0.0107220545802935,"tag yac","genus"
"tag yac.31",1150,0.00489184529012776,"tag yac","genus"
"tag yac.41",1650,0.00723585301304008,"tag yac","genus"
"tag yac.51",2150,0.00180944070389333,"tag yac","genus"
"tag yac.61",2650,0.00102772674748186,"tag yac","genus"
"tag yac.71",3150,0,"tag yac","genus"
"tag yac.81",3650,0,"tag yac","genus"
"tag yac.91",4150,0.00279559843145827,"tag yac","genus"
"lou yac.11",650,0,"lou yac","genus"
"lou yac.21",1150,0,"lou yac","genus"
"lou yac.31",1650,0,"lou yac","genus"
"lou yac.41",2150,0,"lou yac","genus"
"lou yac.51",2650,0.0043281998980218,"lou yac","genus"
"lou yac.61",3150,0,"lou yac","genus"
"lou yac.71",3650,0,"lou yac","genus"
"lou yac.81",4150,0,"lou yac","genus"
"lan yac.11",650,0,"lan yac","genus"
"lan yac.21",1150,0,"lan yac","genus"
"lan yac.31",1650,0,"lan yac","genus"
"lan yac.41",2650,0,"lan yac","genus"
"lan yac.51",3150,0,"lan yac","genus"
"lan yac.61",3650,0,"lan yac","genus"
"lan yac.71",4150,0,"lan yac","genus"
"ano yac.11",1650,0,"ano yac","genus"
"ano yac.21",2150,0,"ano yac","genus"
"ano yac.31",2650,0,"ano yac","genus"
