"","times","sims","name"
"vol aro.6",4650,0.0857874955573329,"vol aro"
"bon aro.1",150,0.0178470649344428,"bon aro"
"bon aro.2",650,0.0805912616379377,"bon aro"
"bon aro.3",1150,0.0451553541266934,"bon aro"
"bon aro.4",1650,0.284837122235238,"bon aro"
"bon aro.5",2650,0.3166692484263,"bon aro"
"bon aro.6",3150,0.148894083797878,"bon aro"
"tag aro.1",150,0.040442443169884,"tag aro"
"tag aro.2",650,0.0135593220338984,"tag aro"
"tag aro.3",1150,0.026299716566873,"tag aro"
"tag aro.4",1650,0.0111869692296171,"tag aro"
"tag aro.5",2650,0.0043744064577399,"tag aro"
"tag aro.6",3150,0.0241100119130055,"tag aro"
"tag aro.7",4650,0.015090419649938,"tag aro"
"lou aro.1",650,0.202500400712945,"lou aro"
"lou aro.2",1150,0.182666504025372,"lou aro"
"lou aro.3",1650,0.159326222712512,"lou aro"
"lou aro.4",2650,0.113469671483806,"lou aro"
"lou aro.5",3150,0.0315583910907492,"lou aro"
"lou aro.6",4650,0.0194517380467496,"lou aro"
"lan aro.1",650,0.036937852911531,"lan aro"
"lan aro.2",1150,0.0158362659751805,"lan aro"
"lan aro.3",1650,0.0123456790123455,"lan aro"
"lan aro.4",2650,0.00162601626016257,"lan aro"
"lan aro.5",3150,0.00426439232409392,"lan aro"
"lan aro.6",4650,0.00116136727455352,"lan aro"
"ano aro.1",1650,0.224237462420675,"ano aro"
"ano aro.2",2650,0.112745098039216,"ano aro"
"ano aro.3",3150,0.198237885462555,"ano aro"
"ano aro.4",4650,0.0689655172413792,"ano aro"
"wai ngo.1",150,0,"wai ngo"
"wai ngo.2",650,0.00599863460018757,"wai ngo"
"wai ngo.3",1150,0.00566078002276849,"wai ngo"
"wai ngo.4",1650,0.0148367952522253,"wai ngo"
"wai ngo.5",2150,0.00434921454309689,"wai ngo"
"wai ngo.6",3150,0.0084269662921348,"wai ngo"
"wai ngo.7",4150,0.00936768149882894,"wai ngo"
"wai ngo.8",4650,0.0127659574468086,"wai ngo"
"tuk ngo.1",150,0.00387197638000314,"tuk ngo"
"tuk ngo.2",650,0.00958856667906016,"tuk ngo"
"tuk ngo.3",1150,0,"tuk ngo"
"tuk ngo.4",2150,0.016926934000956,"tuk ngo"
"tuk ngo.5",3150,0.00491476265154089,"tuk ngo"
"tuk ngo.6",3650,0.0157068062827225,"tuk ngo"
"tuk ngo.7",4150,0.00962924992140246,"tuk ngo"
"yac ngo.1",150,0.25650406504065,"yac ngo"
"yac ngo.2",650,0.457861339588148,"yac ngo"
"yac ngo.3",1150,0.50426111318472,"yac ngo"
"yac ngo.4",1650,0.211636212797952,"yac ngo"
"yac ngo.5",2150,0.0583012007227337,"yac ngo"
"yac ngo.6",2650,0.00573861405972198,"yac ngo"
"yac ngo.7",3150,0.00615647251268425,"yac ngo"
"yac ngo.8",3650,0.00570690401804941,"yac ngo"
"yac ngo.9",4150,0.00674914565970652,"yac ngo"
"ava ngo.1",150,0.319321931627477,"ava ngo"
"ava ngo.2",650,0.424971974438811,"ava ngo"
"ava ngo.3",1150,0.366801994217601,"ava ngo"
"ava ngo.4",1650,0.417021462271712,"ava ngo"
"ava ngo.5",2150,0.350349107960895,"ava ngo"
"ava ngo.6",2650,0.294015976751241,"ava ngo"
"ava ngo.7",3150,0.0848279153038024,"ava ngo"
"ava ngo.8",4150,0.150833377079531,"ava ngo"
"ava ngo.9",4650,0.150260654958024,"ava ngo"
"plu ngo.1",150,0.0512487668103225,"plu ngo"
