original,standardisation_1,standardisation_1_reason,standardisation_2,standardisation_2_reason
cf. Sterculia,Sterculia,removed notation,Malvaceae,aggregated up
cf. Streblus,Streblus,removed notation,Moraceae,aggregated up
cf. Vitex,Vitex,removed notation,Lamiaceae,aggregated up
CHENOPODIACEAE,Amaranthaceae,synonym,Amaranthaceae,synonym
Chenopodiaceae,Amaranthaceae,synonym,Amaranthaceae,synonym
Chenopodiaceae-Amaranthus,Amaranthus,removed notation,Amaranthus,removed notation
Cichorioideae,Asteraceae,aggregated up,Asteraceae,aggregated up
Citronella Type,Citronella,removed notation,Cardiopteridaceae,aggregated up
Claoxylon,Claoxylon,,Claoxylon,
Cleistocalyx,Syzygium,synonym,Syzygium,synonym
Clematis,Clematis,,Clematis,
Cocos,Cocos,,Cocos,
Cocos nucifera,Cocos nucifera,,Cocos nucifera,
Codia,Codia,,Codia,
Collospermum,Astelia,synonym,Astelia,synonym
Colocasia,Colocasia,,Colocasia,
Colocasia esculenta,Colocasia esculenta,,Colocasia esculenta,
Colocasia Type,Colocasia,removed notation,Araceae,aggregated up
Combretaceae/Melastromataceae,remove,uncertainty greater than family level,remove,uncertainty greater than family level
Commelina,Commelina,,Commelina,
Commersonia,Commersonia,,Commersonia,
Compositae (Liguliflorae),Asteraceae,synonym,Asteraceae,synonym
Compositae (Tubuliflorae),Asteraceae,synonym,Asteraceae,synonym
Compositae Tubuliflorae,Asteraceae,synonym,Asteraceae,synonym
Concentration,remove,not pollen/spore,remove,not pollen/spore
Convolvulaceae,Convolvulaceae,,Convolvulaceae,
Coprosma,Coprosma,,Coprosma,
Cordyline,Cordyline,,Cordyline,
Coriaria,Coriaria,,Coriaria,
Corynocarpus,Corynocarpus,,Corynocarpus,
Cucurbitaceae,Cucurbitaceae,,Cucurbitaceae,
Cunoniaceae,Cunoniaceae,,Cunoniaceae,
Cunoniaceae (dicolpate),Cunoniaceae,removed notation,Cunoniaceae,removed notation
Cunoniaceae (tricolpate),Cunoniaceae,removed notation,Cunoniaceae,removed notation
CUNONIACEAE/ELAEOCARPACEAE,remove,uncertainty greater than family level,remove,uncertainty greater than family level
Cupaniopsis,Cupaniopsis,,Cupaniopsis,
Cupaniopsis Type,Cupaniopsis,removed notation,Sapindaceae,aggregated up
Cuphea,Cuphea,,Cuphea,
Cyathaceae,Cyatheaceae,spelling,Cyatheaceae,spelling
