depth	min	max	median	mean
358	14500	21064	18088	17945
359	14521	21256	18218	18067
360	14549	21452	18338	18189
361	14639	21518	18486	18308
362	14686	21587	18633	18428
363	14740	21640	18770	18548
364	14780	21689	18924	18668
365	14828	21749	19087	18788
366	14863	21832	19232	18908
367	14902	21934	19365	19028
368	14955	22047	19514	19148
369	14990	22159	19651	19268
370	15044	22301	19787	19388
371	15095	22344	19956	19508
372	15171	22374	20147	19629
373	15238	22417	20301	19749
374	15280	22461	20469	19869
375	15330	22502	20631	19990
376	15362	22568	20809	20110
377	15410	22633	20978	20230
378	15475	22694	21135	20351
379	15533	22778	21270	20471
380	15580	22901	21419	20591
381	15637	22940	21460	20636
382	15659	22990	21498	20680
383	15693	23044	21540	20725
384	15757	23105	21592	20769
385	15788	23176	21631	20813
386	15825	23256	21665	20858
387	15845	23333	21714	20902
388	15872	23432	21751	20947
389	15907	23541	21796	20991
390	15937	23639	21838	21035
391	15988	23684	21881	21080
392	16043	23728	21928	21124
393	16082	23775	21973	21169
394	16135	23843	22011	21213
395	16174	23895	22051	21258
396	16212	23973	22093	21302
397	16237	24061	22135	21346
398	16263	24113	22175	21391
399	16310	24180	22210	21435
400	16334	24270	22242	21480
401	16402	24315	22295	21522
402	16437	24363	22341	21565
403	16459	24419	22381	21607
404	16484	24468	22421	21650
405	16518	24536	22458	21692
406	16549	24603	22496	21735
407	16589	24667	22543	21777
408	16633	24727	22580	21820
409	16671	24786	22623	21862
410	16705	24866	22663	21905
411	16740	24915	22695	21949
412	16804	24968	22739	21993
413	16864	25015	22775	22037
414	16914	25062	22819	22081
415	16939	25128	22860	22126
416	16971	25186	22890	22170
417	17008	25277	22926	22214
418	17045	25334	22974	22258
419	17068	25413	23009	22303
420	17113	25465	23047	22347
421	17143	25533	23090	22392
422	17201	25583	23133	22438
423	17256	25642	23181	22484
424	17294	25684	23225	22530
425	17332	25717	23268	22576
426	17376	25772	23303	22621
427	17415	25833	23341	22667
428	17446	25907	23387	22713
429	17505	25975	23414	22759
430	17569	26046	23452	22804
431	17622	26092	23503	22850
432	17671	26137	23543	22895
433	17708	26185	23590	22940
434	17753	26213	23632	22985
435	17796	26253	23672	23031
436	17839	26308	23719	23076
437	17881	26342	23767	23121
438	17937	26402	23803	23166
439	17972	26451	23838	23212
440	18005	26508	23873	23257
441	18042	26537	23917	23296
442	18087	26565	23951	23335
443	18126	26591	23993	23374
444	18169	26616	24033	23413
445	18202	26662	24070	23451
446	18230	26705	24112	23490
447	18268	26751	24145	23529
448	18295	26788	24182	23568
449	18321	26830	24209	23607
450	18366	26882	24251	23646
451	18430	26898	24281	23682
452	18451	26929	24318	23718
453	18492	26963	24356	23754
454	18507	26995	24384	23790
455	18519	27031	24416	23825
456	18582	27051	24450	23861
457	18633	27076	24480	23897
458	18663	27101	24512	23933
459	18700	27159	24539	23969
460	18723	27201	24565	24005
461	18731	27220	24601	24039
462	18745	27244	24635	24073
463	18802	27273	24663	24107
464	18859	27305	24689	24141
465	18892	27343	24726	24176
466	18921	27374	24765	24210
467	18959	27408	24793	24244
468	18995	27428	24822	24278
469	19021	27468	24852	24312
470	19038	27508	24887	24346
471	19071	27541	24916	24380
472	19105	27577	24961	24414
473	19137	27589	24989	24448
474	19170	27617	25021	24482
475	19200	27658	25060	24516
476	19237	27685	25089	24549
477	19274	27728	25118	24583
478	19311	27768	25149	24617
479	19347	27811	25182	24651
480	19405	27848	25218	24685
481	19445	27885	25247	24719
482	19473	27922	25280	24753
483	19509	27965	25310	24788
484	19547	27993	25349	24822
485	19576	28019	25393	24856
486	19594	28051	25425	24890
487	19629	28075	25455	24925
488	19664	28094	25487	24959
489	19697	28125	25519	24993
490	19734	28165	25547	25028
491	19762	28189	25586	25062
492	19815	28216	25616	25097
493	19836	28245	25658	25131
494	19891	28266	25689	25166
495	19922	28317	25724	25200
496	19951	28350	25749	25235
497	19974	28372	25779	25269
498	19995	28408	25809	25304
499	20021	28440	25844	25338
500	20053	28476	25865	25373
501	20073	28500	25905	25407
502	20119	28529	25944	25441
503	20166	28569	25972	25475
504	20194	28612	26013	25510
505	20240	28633	26037	25544
506	20282	28670	26078	25578
507	20340	28692	26111	25612
508	20403	28723	26141	25647
509	20445	28766	26177	25681
510	20471	28801	26208	25715
511	20544	28821	26240	25749
512	20564	28845	26273	25783
513	20581	28875	26313	25817
514	20598	28917	26342	25852
515	20607	28943	26371	25886
516	20622	28974	26405	25920
517	20660	29003	26437	25954
518	20698	29034	26469	25988
519	20735	29082	26510	26022
520	20765	29116	26541	26056
521	20790	29145	26574	26091
522	20829	29189	26606	26126
523	20847	29214	26638	26161
524	20888	29248	26683	26196
525	20942	29279	26719	26231
526	21003	29304	26750	26266
527	21054	29342	26782	26301
528	21082	29377	26811	26336
529	21102	29409	26841	26371
530	21120	29451	26873	26406
531	21141	29486	26910	26441
532	21196	29515	26949	26476
533	21228	29545	26986	26511
534	21248	29577	27024	26546
535	21289	29600	27061	26581
536	21305	29628	27095	26616
537	21344	29655	27127	26651
538	21362	29676	27157	26685
539	21416	29696	27194	26720
540	21471	29732	27222	26755
541	21513	29759	27271	26790
542	21564	29792	27304	26824
543	21601	29826	27337	26858
544	21635	29858	27379	26893
545	21672	29903	27404	26927
546	21701	29919	27427	26961
547	21723	29934	27458	26996
548	21745	29971	27490	27030
549	21795	29994	27525	27064
550	21862	30034	27557	27099
551	21875	30069	27597	27134
552	21900	30116	27639	27169
