"","Cal_yrs_BP","min","max","Agathis","Araucaria","Dacrydium","Neocallitropsis","Podocarpus","OTHER PODOCARPACEAE","ACANTHACEAE","Alyxia Type","AMARANTHACEAE","Antidesma Type","APOCYNACEAE","ARALIACEAE","Argophyllum Type","Ascarina","ASTERACEAE","Austrobuxus buxoides Type","Austrobuxus Other","Barringtonia","Beauprea ?","CASUARINACEAE","Celtis","Cerberiopsis","Citronella Type","Codia","Corynocarpus","CUNONIACEAE/ELAEOCARPACEAE","Cupaniopsis Type","Desmodium Type ?","DILLENIACEAE","Dodonaea Type","EPACRIDACEAE","ESCALLIONACEAE","Euroshinus Type","Ficus","FLACOURTICEAE","Garcinia","Geniostoma Type","GESNERIACEAE","Glochidion Type","GOODENIACEAE","Grevillea Type","GUTTIFERAE","Hedycarya Type","Hibbertia Type","Homalanthus Type","Ilex","Kermadecia/Stenocarpus","Labiateae Type","LORANTHACEAE ?","Macaranga","MALPIGHIACEAE","Melaleuca","Carpolepis Type","OTHER MYRTACEAE","Melastoma","Meliaceae","Meryta","Myriophyllum","Nepenthes","Nothofagus","Phyllanthus","PIPERACEAE Type","Pittosporum ?","Planchonella Type","PROTEACEAE","Psidium guava","Psychotira","Rauvolfia","Rhizophora","RUBIACEAE","RUTACEAE ?","SAPINDACEAE","SAPINDACEAE Sync. Type","SAPOTACEAE","Sloanea","Smilax?","SOLANACEAE","Soulamia Type","Spathodea Type","STERCULICEAE","Tapeinosperma Type","Trema ?","URTICACEAE","VERBENACEAE","VIOLACEAE?","Colocasia Type","CYPERACEAE","Flagellaria","Joinvillea","Palmae","Pandanus krauelianis Type","Other PANDANACEAE","POACEAE","Typha?","Lycopodium","Selaginella","Monolete Psilate Small","Monolete Psilate Medium","Monolete Psilate Large","POLYPODIACEAE","Round Hairy Spore","340 Type","Type A Mono","Type B Mono","Type C Mono","Other Monolete Ferns","Pteridium esculentum","Cyathaceae","Trilete Psilate","Sphenomeris Type","NC-SS-32 Type","Type A Tri","Other Trilete Ferns","Type 4","Type 10","Type 19","Type 29","Type 49","Type 63","Type 65","Type 66","Type 77","Type 84","Type 89","Type 150","Type 151","Type 152","Type 153","Type 157","Type 158","Type 159","Type 160","Type 161","Type 164","Type 165","Type 166","Type 167","Type 168","Type 171","Total","Concentration","ALNUS (exotic marker)","Dam/deg","Indet","Debarya Type","Zygnema Type"
"16",2948,2613,3283,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,9,0,0,0,62,0,1,0,0,1,0,0,9,1,57,6,0,0,0,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,6,1,0,0,0,0,0,0,0,0,0,236,16059,338,10,6,0,0
"17",3171,2831,3506,0,4,2,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,20,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,0,0,0,19,0,0,0,0,0,2,0,15,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,12,0,0,1,70,0,0,0,0,0,7,0,0,0,78,1,0,0,0,3,5,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,16,4,0,0,0,0,0,0,0,0,0,0,0,0,376,95033,91,69,13,0,0
"18",3395,3060,3701,0,3,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,46,0,2,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,47,0,0,0,14,0,0,0,0,0,6,0,1,3,0,0,0,0,5,0,0,2,0,0,1,0,0,0,0,6,20,0,0,0,0,0,0,5,0,0,0,81,0,0,0,0,0,1,0,4,0,88,6,0,0,0,0,0,1,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,3,12,0,1,2,0,0,0,0,0,0,0,0,0,0,395,44102,206,30,6,0,0
"19",3625,3340,3889,0,6,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,1,0,4,0,0,0,45,0,0,0,0,2,2,0,36,1,130,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,284,18094,361,7,5,0,0
"20",3856,3611,4128,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,9,0,1,0,0,0,0,0,1,0,14,4,0,0,0,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2840,494,3,0,0,0
"21",4092,3795,4434,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1731,186,0,1,0,0
"22",4331,3982,4674,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,0,0,0,0,0,0,1,4,0,35,13,0,0,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,104,6518,367,2,3,0,0
"23",4567,4216,4909,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2776,174,2,3,0,0
"24",4685,4350,5012,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,0,1,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2611,414,5,2,0,0
"25",5033,4699,5377,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,121,0,0,0,3,0,0,0,0,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,85,0,0,0,0,0,5,0,28,1,15,13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,1,0,0,0,0,0,0,0,0,0,326,93725,80,12,4,0,0
"26",5258,4899,5636,0,38,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,55,0,1,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,23,0,0,2,110,0,0,0,0,0,5,0,48,1,130,5,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,486,49026,228,24,2,0,0
